"classId","name","cell","x","y","z","destCell","destX","destY","destZ"
"2359","Slaughterhouse","15680105","158.648","-0.335721","-63.995","1B7F0018","64.925","186.86","80.1"
"5447","Darktide Festival Stone Portal","15680106","168.75","-0.480814","-63.995","0E34003F","175.5","146.8","34"
"8385","Direlands Southeast Shore","15680107","178.612","0.0646941","-63.995","52260007","5.6","155","0"
"2328","Black Hill","15680108","142.076","5.99997","-63.995","3E310004","11.8","93.1","238.6"
"4046","Obsidian Plains","1568010D","184.739","6.1727","-63.995","2D2F0034","147.5","78.6","47.1"
"4203","Walled Portals","1568010E","141.69","16.2184","-63.995","2264000D","36.3","96.9","120"
"6433","Obsidian Span Portal","15680113","184.723","15.886","-63.995","B4AA0005","5.8","112.6","51.3"
"7210","Obsidian Rim Portal","15680114","142.212","26","-63.995","2E43000C","33","80","7.5"
"8502","South Shore Heights","15680119","184.693","25.9258","-63.995","B013003E","181","134.3","183"
"5764","Stonehold Valley Portal","1568011A","148.776","32.1975","-63.995","5ED20005","12","108","20.5"
"8389","Direlands North Landbridge Portal","1568011B","158.667","32.822","-63.995","36940026","96.3","140","87"
"8390","Direlands South Landbridge Portal","1568011C","168.65","31.7218","-63.995","6717001B","81.1","48.8","2.7"
"8618","Vesayen Isles Portal","1568011D","178.787","32.055","-63.995","E5240007","11.9","153.5","-0.1"
"11325","Tumerok Cavern","15B10000","100.696","137.722","0.005","02920219","34.4","-27.7","0"
"9296","Panopticon Portal","16350000","78.4765","96.9502","65.4653","02A10166","260","0","-36"
"2360","Cave","16430000","161.864","138.439","24.005","01BD0107","20.48","-79.33","0"
"11952","Northern Ahurenga Plains Portal","16B20000","189.115","122.392","43.764","13C0002D","142.8","113.9","20.1"
"9106","Hieromancers' Halls Portal","17790101","180","177.849","382.005","02A90148","80","-240","-42"
"9070","Exit Portal","177B0000","170.93","170.601","560.005","1579003F","180","156","300"
"9069","Exit Portal","177B0000","189.244","170.735","560.005","1979003F","180","156","300"
"42852","Portal to Town Network","17B2001B","77.595","58.6918","45.1646","00070145","70","-80","0.005"
"70752","Camp Entemarre","1830000E","43.8211","141.28","75.937","004901B0","50","-10","0.004999"
"11323","Tumerok Cave","18B30000","63.7526","101.435","22.005","028602BF","40","-50","0"
"10853","Abandoned Tumerok Site","18B30000","138.595","175.993","20.005","02840211","20","0","0"
"10925","Secret Putiputi Place","18B90000","166.974","48.4102","41.766","57740112","0.928162","-0.856308","6.005"
"22011","Olthoi Arcade","19B00000","186.806","45.0165","0.005","5B43041A","80","-7.5","0"
"27585","Olthoi Warrior Nest","19BA0000","177.442","27.5557","131.515","667801DC","30.02","-75.71","0"
"11215","Mount Elyrii Hive Portal","19BC0000","64.0845","11.8681","235.345","03A703B2","80","-170","0.1"
"4941","Banished Assembly","1B120101","181.447","133.686","2.005","001501CA","12.2668","-59.989","12.005"
"7287","Sclavus Cathedral","1B550000","56.0953","123.311","0.00499997","02F603FA","110","-320","0"
"7242","Black Spawn Den","1B900000","122.404","87.4296","30.005","01050375","100","-210","0"
"30695","Ravaged Cathedral","1C130000","130.771","129.602","70.1324","001601CA","12.2668","-59.989","12.005"
"6795","Nexus Portal","1C4D0000","98.5533","49.5871","0.219443","011002E1","40","-250","24"
"11231","Wasteland Hive Portal","1CBE0000","108.213","180.188","100.005","028503E6","100","-80","12.2"
"30693","Vile Sanctuary","1D130115","142.934","4.22865","-8.395","001701CA","12.2668","-59.989","12.005"
"32239","Master Vaserio's Dig","1D3B000E","42.7281","132.185","65.937","0043031D","250","-32","0.005"
"42852","Portal to Town Network","1DB6003C","181.401","93.5886","120.198","00070145","70","-80","0.005"
"27583","Mutilator Tunnels","1DC10000","152.062","93.4297","74.6769","667A0240","98.7361","-159.333","0"
"11958","Marescent Plateau Portal","1EB30102","83.9429","189.375","5.25459","1EB4001A","78.7","31.2","80.8"
"11957","Base of the Cliffs Portal","1EB40000","18.952","51.797","80.321","1EB30010","34.1","188.5","0.2"
"11959","Base of the Timaru Plateau Portal","1EB60000","36.5311","99.0092","120.005","1EB60013","58.6","61.1","90"
"73063","Viamontian Direlands Mine","1F8A003A","180","36","53.937","00480330","45.8297","-174.208","0.005"
"11213","East Fork Dam Hive Portal","1FBC0108","178.284","9.94946","82.9232","027F0234","30","-60","6"
"10849","Lair of the Eviscerators","1FC20000","134.266","110.936","82.005","027D02AA","120","-20","0"
"10881","Martinate Holding","1FC90000","21.822","172.412","0.00499997","027E0104","120","-20","-12"
"11337","Aun Papileona's Shrine to Raeta","20B00000","14.4821","6.27562","0.005","028701F3","60.1","-4.5","0"
"10857","An Olthoi Soldier Nest","20B70000","20.3366","177.344","90.005","02820234","120","-10","0"
"11217","North Fork Dam Hive Portal","20BF0125","83.9602","137.504","74.205","03A602C9","30","-60","24"
"25588","Sclavus Temple","21180100","87","60","3.66","604A036C","60","-50","-11.995"
"1430","Halls of the Lost Light","211F0100","154","156","46.005","01CE01C9","49.54","-6.8","0"
"43201","Mysterious Portal","21760110","30.684","157.605","90.337","8B03018F","70","-90","-77.995"
"42852","Portal to Town Network","21B0000D","34.7016","118.221","0.198001","00070145","70","-80","0.005"
"32710","Viamontian Laboratory","21B0013B","52.1454","134.682","-0.063","00680186","40","-150","0.005"
"11955","Karab Delta Portal","21C50000","126.847","66.3","68.005","1EAF0011","56.2","13.3","0.005"
"28796","Waterfall Cave","21E8000C","32.9277","83.206","13.937","02D50237","92.3256","-0.699978","0.005"
"14492","Empyrean Acid Propylaeum","22570000","128.735","171.845","0.956663","526E014B","30","0","0"
"21414","Acid Guardian Lair","22590000","106.478","61.4156","1.12297","5943014A","47.5","-2.5","6.005"
"1087","Outside Accursed Halls Portal","22640000","54.6793","92.8648","119.937","3761000C","37.31","80.17","40"
"4147","Ridge Tower","22640000","21.436","99.414","119.937","CB3D0032","147.556","38.682","175.409"
"11956","Northern Manumet Plains Portal","22B10000","58.284","90.315","0.005","2ABE000D","47.7","103.3","20"
"28714","Dericost Ruin","22DC002A","137.05","30.6141","7.937","015F0223","90","-90","0.005"
"28780","Small Empyrean Vault","22E30040","176.226","184.963","79.3506","01FE02CB","177.048","-176.394","0"
"31294","Renegade Incursion","23800031","159.046","13.4355","219.937","003001A7","1.39887","-127.964","0.005"
"2357","Ancient Lighthouse Portal","23840100","86.0074","82.6469","650.005","01A902D5","60","-20","0"
"2364","Tumerok Fortress Portal","238E0000","60.158","155.306","275.12","01BE01C2","69.6","-66.9","-6"
"70087","Back Tunnels","23B6010F","52.3834","35.6364","-15.195","005502B8","430.024","-280.138","0.005"
"42852","Portal to Town Network","23DA0034","149.813","78.9401","2.198","00070145","70","-80","0.005"
"28795","Viamontian Garrison","23DD000D","35.8133","107.669","39.937","00020224","90","-50","0.005"
"6389","Amperehelion Vault Portal","24380000","88.3773","157.87","-0.095","01190371","60","-110","42"
"2356","Portal to Lighthouse","24840000","159.735","56.6959","340.005","23840014","61.8","80.5","645.8"
"11442","Palenqual's Caverns","24BC0104","145.798","107.862","49.307","028E0330","90","-70","0"
"32104","Breached Hive","24BD0007","6.41872","158.673","198.867","003E02F7","18.8143","-12.6949","0.005"
"11219","Tiny Hive Portal","24BD002F","120.711","155.017","127.712","028902A5","110","-20","-30"
"10855","Ancient Empyrean Grotto","24C10000","22.8535","29.498","95.8139","027C01B0","40","0","0.1"
"29496","Eater Pit","24EE0100","120","84","-1.263","001F0286","121","-250","0.005"
"8387","North Direlands Valley Junction","25250100","80","60","-6.34","2E820006","23","124","29"
"42711","Empyrean Facility Upper Level","2545002E","130.006","129.677","-0.063","890402C4","50","0","23.5124"
"1899","Beachside","25730105","118.054","128.58","138.805","CE9C0038","159.6","171.5","2"
"43065","Portal to Town Network","2581002C","138.929","72.6891","220.198","00070143","70","-60","0.005"
"19715","Colossus Foundry Portal","2581016A","71.0758","83.2523","214.805","545701C5","160","-90","0"
"25281","Mountain Citadel Portal","25860000","125.577","26.2516","103.829","61470152","140","-130","0"
"73054","Thrungal Den","25E2003E","173.831","122.593","41.7362","006502BA","119.957","-10.747","0.005"
"25392","Aerbax's Holding","26310000","107.874","84.1529","72.005","594B012B","140","0","0.005"
"7211","Northwest Direlands Portal","26410000","180","132","44.039","12860003","10","68","50"
"1902","Hilltop","26810000","18.9244","112.749","220.005","AAA80034","152.4","82.3","171.3"
"28782","Remote Empyrean Vault","26E5001C","86.8363","94.8453","15.1734","000102C6","60","0","0.005"
"32695","Silyun Chapterhouse","27EA001A","83","32","29.937","005201C9","40","0","0.005"
"42852","Portal to Town Network","27EC000C","36.8127","95.7375","80.198","00070145","70","-80","0.005"
"28786","Hidden City","27F5003C","179.892","84.6407","85.937","02D602CE","0.34","-79.85","0.005"
"8381","Sotiris Portal","282A0000","170.468","87.8362","84.005","02C90280","120","-250","0"
"30382","Plains of Ruin","28EC0018","64.1653","180.984","52.005","3FF00016","60","132","14.005"
"28798","Lola's Den","28F2001B","75.624","66.3426","52.0881","01EB032F","62.4792","-49.7283","0"
"1900","Heartland","29380101","60.057","7","32.005","AD9B003E","186.1","126.3","62"
"10851","The Dark Lair","29B60000","176.609","35.8586","22.005","0283015A","10.2","-3.8","0"
"29498","Heart of Madness","29E90100","132","96","2.737","002002D2","60","-30","0.005"
"22696","Tusker Temple","2A800000","57.7292","64.9681","70.005","5C4A02F9","160","-130","0.005"
"2558","Tumerok Post","2A8E0000","56.5986","129.798","64.739","019F0133","10","-10","0"
"27587","Crumbling Empyrean Mansion","2AB90000","112.55","180.457","20.005","66790275","13.6","-70","0"
"30535","Beacon Tower Exit","2AE2001C","74.6918","84.0827","23.0125","33D90009","44.79","20.1","52.005"
"30535","Beacon Tower Exit","2AE3000E","36.3618","131.723","53.0545","33D90009","44.79","20.1","52.005"
"30535","Beacon Tower Exit","2AE30020","83.8575","180.336","53.0564","33D90009","44.79","20.1","52.005"
"30535","Beacon Tower Exit","2AE3002E","131.548","132.248","53.0543","33D90009","44.79","20.1","52.005"
"29501","Exit Karlun's Fort","2AEE002D","136","104","99.937","2AEE0030","132","180","50.005"
"29502","Hall of Karlun","2AEE002D","130","110","99.937","0021013E","19.9532","-138.778","0.005"
"29500","Karlun's Fort","2AEE003E","177.268","132.257","66.005","2AEE0024","111.74","87.0811","100.005"
"1107","South Direlands Portal","2B100101","180","161","58.005","5416001A","75","35","39.5"
"42852","Portal to Town Network","2B110027","114.677","160.92","48.198","00070145","70","-80","0.005"
"24580","Tree Portal","2B120000","87.5","8.5","48.005","2B120019","89.8","6.2","73"
"24875","Ground Portal","2B120000","93","3","73.4","2B110028","110.5","177.4","48"
"31341","Bandit Castle","2B200024","107.961","85.5609","199.937","00070143","70","-60","0.01"
"32087","Unstable Portal","2BB40028","118.586","182.952","-0.063","01A80156","40","-10","0"
"42852","Portal to Town Network","2CB50003","21.1171","63.1885","0.198001","00070145","70","-80","0.005"
"29361","Marauder's Lair","2CE80100","75.5539","50.2797","40.737","0197035D","327.517","-163.124","0.005"
"31432","Frozen Cenotaph","2CF00100","22","132","-1.263","003701CC","40","-10","0.005"
"25570","Hidden Cavern","2D500000","104.713","26.434","0.00499996","5F4802CC","230","-71.25","0.005"
"27479","Renegade Fortress","2D5A0104","107.82","98.2997","3.25459","624803E8","90","-190.593","0.005"
"2560","Tumerok Base","2D8A010A","64.827","132","123.205","01A1016E","120","-10","30"
"29099","Steaming Hovel","2DDA0100","83.6723","165.994","34.737","039B0177","30","-40","6"
"3612","Direlands Desert Edge Portal","2E0E0101","156","127","58.005","231D0029","125","20","56"
"12294","Singular Obsidian Repository","2E390000","86.7921","99.6572","117.382","039F02F1","220","-330","18"
"10796","Singularity Bore","2F2F0000","125.575","61.1697","2.005","02910388","210","-120","6"
"2562","Tumerok Dungeon","30730000","146.502","83.067","36.005","01A0013A","40.219","-50.724","0"
"29101","Moist Hovel","30DA0100","135.156","142.256","-3.263","02B90185","100.213","-1.54058","0.005"
"10734","Inculcation Cells Portal","31290000","63.756","89.6281","69.318","0295026D","160","-270","6"
"8830","Chakron Gate Portal","313D0000","18.1017","54.7337","238.808","02AE02B3","130","-6.3","0"
"28713","Viamontian Torture Chamber","31D6000D","44","98","79.937","02EB022F","0","-20","0.005"
"2331","Tumerok Mine","32890000","159.594","75.3067","26.005","01C10234","56.2","-130.46","6"
"42852","Portal to Town Network","32D90034","155.562","83.545","52.198","00070145","70","-80","0.005"
"29095","Sultry Hovel","32DB0100","101.275","185.659","34.737","0114018C","52.8694","-1.26897","0"
"30380","Cataracts of Sabella","32DE0033","146.943","59.9485","39.937","22E60029","132","12","117.005"
"8392","Tumideon Fortress Portal","33390000","103.962","113.321","126.228","02C70198","60","-390","0"
"30536","Beacon Tower","33D90009","44.8879","16.9828","51.937","2AE2001C","84.146","84.015","23.0805"
"28793","Penguin Den","33D90039","185.137","11.9241","35.0555","02DD019B","100.09","-229.548","0.005"
"39000","Yaraq Casino VIP Portal","33DA002E","131.5","131","62.687","7E64001D","85","108","12"
"39002","Shoushi Casino VIP Portal","33DA002E","124.5","131","62.687","DB54001E","85","132","20"
"38998","Holtburg Casino VIP Portal","33DA002E","138.5","131","62.687","A9B2001D","84","102","94"
"24952","Desert Citadel Portal","34150000","156.571","84","84.005","61480152","140","-130","0"
"7949","Shendolain Vestibule Portal","343C0000","181.641","38.7505","232.371","02E00461","50","-20","-30"
"20626","Precarious Sojourn Exit Portal","344F0000","12.1478","145.202","89.7757","7E82001B","77.523","66.741","154.115"
"28784","Ruschk Iceberg","34F7001F","85.5311","164.018","23.3116","02DE02BE","160.005","-279.729","0.005"
"29102","Humid Hovel","35DB0100","85.094","76.103","16.737","02E4017E","133.337","-1.86382","0"
"28804","Ruined Empyrean Vault","35EA002F","132.19","153.019","20.1696","01940119","80","-40","0.005"
"32235","Mistress Halmera's Dig","368A000A","45.7235","31.7034","83.937","00410160","160","-10","0.005"
"29512","Cannibal Caverns","36ED0101","51","84","81.137","002202F2","230","-10","-5.995"
"7246","Black Spawn Den","37340000","75.3624","71.714","81.4512","01030375","100","-210","0"
"1119","Accursed Halls Portal","37610000","19.5545","77.8227","39.937","01F90101","0","-130","-18"
"4203","Walled Portals","37610000","52.6106","66.1486","39.937","2264000D","36.3","96.9","120"
"3640","Mountain Halls","388C0102","108","15","75.66","019201A8","19.855","-29.907","0"
"28778","Frozen Library","38F0003F","184.196","160.102","55.2867","02FE044E","89.8631","-299.018","0.005"
"42852","Portal to Town Network","38F70019","82.7407","15.5784","2.198","00070145","70","-80","0.005"
"3638","Knath Lair","39410000","15.713","46.722","0.696","0193012A","40","-10","0"
"5523","Mount Naipenset Caverns","39860100","37.2875","80.6082","175.634","014701E9","10","-130","0"
"70009","Icy Hideout","39EF0003","11.5107","59.6001","22.005","0033040F","739.915","-233.14","0.005"
"28708","Portal to Silyun","39F60010","33.7372","186.893","1.937","26EC0035","156","108","80.005"
"4921","Virindi Fort Portal","3B320000","149.108","78.936","149.005","01400206","50","-10","0"
"2065","Town of Dryreach","3B4D0104","38.634","130.219","2.005","DB75003B","186","65","36"
"2335","Small Complex","3C4E0000","137.903","114.449","33.0343","01C00122","6.29","-56.63","0"
"38585","Temple of Tthuun","3D0B0100","84","84","36.537","00DF02B9","119.766","-90.3525","-5.995"
"38584","Chamber of the High Priest's Third","3D0B0113","132","132","12.537","00DD0104","10.0574","-70.0025","0.005"
"38582","Chamber of the High Priest's First","3D0B012F","132","36","12.537","00DD0108","10.009","-169.962","0.005"
"38581","Acolyte's Chamber","3D0B014B","36","132","12.537","00DD0102","9.51546","-20.0248","0.006"
"38583","Chamber of the High Priest's Second","3D0B0173","36","36","12.537","00DD0106","9.40494","-120.053","0.005"
"8388","Direlands Northwest Shore Portal","3D220000","175.406","172.626","8.47864","0D86002E","125.2","132","5.6"
"8386","Direlands Valleys Portal","3D220000","181.869","140.858","7.87814","30490007","5.6","154.5","27"
"7283","Burun Cathedral","3D4A0000","131.714","105.845","0.005","02F803FA","110","-320","0"
"2329","Small Black Hill","3E310000","21.9741","145.636","230.845","4031001F","73","150","148.2"
"29483","Ruschk Icehold","3EEC002D","130","108","4.005","001D012F","170","-18","0.005"
"29048","Penguin Cave Hatchery","3EF5002B","140.79","48.6864","1.73754","01CB0360","4.058","-43.933","66.005"
"46304","Frigid Grotto","3EF8002F","137.333","154.427","-0.963","584D035A","140","-120","6.005"
"42852","Portal to Town Network","3F310017","59.6393","165.407","0.098001","00070145","70","-80","0.005"
"19715","Colossus Foundry Portal","3F310100","54.5726","181.332","-5.195","545701C5","160","-90","0"
"2385","Disaster Maze","3F320000","147.354","166.059","34.9491","01A60214","90","-30","0"
"28708","Portal to Silyun","3FF00026","102.577","137.624","13.937","26EC0035","156","108","80.005"
"1907","Sho Roadside","40310000","137.21","26.2009","15.9294","D45C003D","176.1","102.1","14"
"2328","Black Hill","40310000","49.726","130.579","148.005","3E310004","11.8","93.1","238.6"
"2329","Small Black Hill","40310000","170.297","178.532","11.8136","4031001F","73","150","148.2"
"2330","Small Hill Base","40310000","92.783","165.164","148.005","40310040","174.8","179.1","11.5"
"28806","Abhorrent Vault","40EE0021","112.331","10.8736","29.937","02D40260","70","-20","0.005"
"29481","Lugian Ice Tunnels","40F40031","155","15","1.937","001C0105","0","-64","0.005"
"7202","Dungeon of Corpses Portal","41390100","84","40","-6.34","01090160","30","-20","0"
"1107","South Direlands Portal","421D0000","115.659","188.33","31.937","5416001A","75","35","39.5"
"1903","Desert Ridge Border","421D0000","136.241","164.86","31.937","B178001C","74.9","75.4","22.3"
"8618","Vesayen Isles Portal","42490000","24.4354","68.4022","-0.095","E5240007","11.9","153.5","-0.1"
"4140","Sclavus Keep Portal","424E0102","171.571","159.472","-4.795","01860247","70","-90","6"
"28802","Ravenous Vault","42F30014","54.3933","91.5131","4.97414","039D02A4","99.8339","-48.9272","48.005"
"1112","Isle of Tears Portal","43150103","137","36","70.005","C09B0015","64.2","119.3","2"
"30971","Path of the Blind","43F1001B","87.2898","65.8189","39.937","002A034A","52.8552","-248.075","0.005"
"31924","Path of the Blind West","43F1001B","79.5862","61.2074","39.937","004B034A","52.8552","-248.075","0.005"
"31925","Path of the Blind East","43F1001B","95.0672","60.9868","39.937","00E1034A","52.8552","-248.075","0.005"
"31928","Egg Orchard West","43F7000E","46.9769","129.812","99.937","00C80371","458.535","-172.203","0.005"
"30964","Egg Orchard","43F70016","59.8259","132.72","100.137","002B0371","458.535","-172.203","0.005"
"31926","Egg Orchard East","43F7001E","76.191","129.422","99.937","00640371","458.535","-172.203","0.005"
"28808","Insatiable Vault","43F9001A","78.639","26.0241","9.13795","00960321","70","-40","0.005"
"25605","Elemental Caverns","44180000","3.07588","45.0854","164.005","5F470412","170","-139.985","0.07557"
"6393","Incunabula Vault Portal","44520000","77.8163","119.002","20.005","011A03F9","50","-349","0"
"30061","Augmentation Realm Upper Level","44F60022","110.982","25.4876","354.566","006D0413","30","-300","0.005"
"7295","Halls of Metos","45320000","15.858","151.728","69.9739","02F50297","100","-330","0"
"31670","Font of the Eternal Harvester","454A0102","62","12","5.137","00380285","20","-40","0.005"
"2556","Swamp Temple","4550011F","161.488","89.1013","-10.795","019C02A7","100","-40","0"
"14886","Malignant Tabernacle","45620000","180","81.556","36.625","536C0280","70","-60","0"
"28825","Abayar's Laboratory","45F20026","108.176","122.42","65.937","018E037B","11.736","-150.022","0.005"
"6391","Artifex Vault Portal","46A00000","42.5468","103.356","63.5825","01370341","188.4","-10","0"
"45727","Frozen Refuge","46F4002F","122.801","164.585","16.6373","5770015B","20.7438","-49.8883","0.005"
"1907","Sho Roadside","47E40000","185.132","35.937","13","D45C003D","176.1","102.1","14"
"30960","Dark Design","47F40016","57.3476","133.856","0.312701","002D0373","200.142","-4.32755","0.005"
"38729","Massilor's Crypt","482D003E","180","136","5.937","472D0107","282","199","-25.6"
"38086","Gardens of Menilesh","482E002D","135","110","5.937","00E70283","80","-60","48.005"
"48778","Count Phainor's Tomb","482E0131","78.187","36.634","3.592","58620396","240","-390","0.005"
"37489","Mhoire Armory","482E0140","16.0681","82.6739","3.592","00EA04DD","30","-100","-17.995"
"30470","Western Power Forge","48640000","132.279","14.7523","0.005","00060100","0","-170","6.005"
"2549","Plateau Top","48B80000","29.4835","3.41051","100.351","49B60008","13.112","181.23","238.893"
"1107","South Direlands Portal","49240000","98.4631","117.059","4.005","5416001A","75","35","39.5"
"1905","North Desert Edge","49240000","76.9503","102.871","4.005","7B790025","115.1","111.2","7.7"
"40919","Up to Arcanum Lookout","492D0017","59.6104","156.702","4.02797","492D0017","59.8273","156.007","29.5805"
"40920","Down to Surface","492D0017","60.0659","148.216","29.5125","492D000F","38","160","5.33833"
"32233","Master Alizari's Dig","4997001D","85.8272","118.091","105.632","004002E0","40","-10","0.005"
"2549","Plateau Top","49B50000","66.897","94.1773","174.671","49B60008","13.112","181.23","238.893"
"2551","Inner Dungeon","49B50000","45.7952","164.252","162.907","01A5019D","20","0","6"
"2550","Plateau Base","49B60000","12.9233","172.297","239.647","48B80001","20.703","11.361","98.509"
"19369","Oriel Residential Halls Portal","49B60000","104.518","87.303","240.005","565E0140","40","-70","0"
"43065","Portal to Town Network","49B60007","20.637","147.066","240.198","00070143","70","-60","0.005"
"19716","Mammet Foundry Portal","49B6012C","40.6881","143.202","234.805","5458025F","10","-110","6.005"
"42852","Portal to Town Network","49F0001C","87.5315","74.7916","170.198","00070145","70","-80","0.005"
"28788","Undead Temple","49F10019","86.372","8.45434","6.0348","03A502E2","270","-110","0.005"
"30963","Thrungus Hole","49F50100","139.013","14.9098","94.805","002902E7","264.295","-126.941","0.005"
"1107","South Direlands Portal","4A1B0000","77.8462","65.0877","4.005","5416001A","75","35","39.5"
"1104","North Direlands Portal","4A1B0000","98.9688","45.4453","4.005","3C9D0010","25.1","191.5","77.9"
"12466","Adams' Beach Portal","4AB80000","116.345","43.8935","240.005","3DC7001B","74.931","65.051","0.005"
"12514","Lithaenean Cottages Portal","4AB80000","117.527","36.0704","240.005","52C10010","35.347","172.789","0.005"
"12538","Plateau Hollow Settlement Portal","4AB80000","117.058","27.4033","240.005","4EAC0022","113.078","35.952","80.013"
"13123","Rivermouth Villas Portal","4AB80000","113.435","50.9018","240.005","40BF0030","126.541","174.326","7.478"
"14294","Zatara Portal","4AB80000","113.651","20.7677","240.005","ABDE0024","113.43","84.347","14.852"
"14254","Auralla Settlement Portal","4AB80000","107.925","17.9969","240.005","46C0001B","83.189","66.832","8.005"
"13098","Dire's Edge Portal","4AB80000","107.854","54.0944","240.005","3B9C002B","125.943","53.815","53.984"
"14659","Rahvard Square Portal","4AB80000","99.7603","18.0569","240.005","4DC00025","111.576","111.622","8.001"
"14661","Rhynntal Cottages Portal","4AB80000","85.0602","27.4066","240.005","4EBA0013","58.239","65.913","47.626"
"14678","Yee Villas Portal","4AB80000","82.772","33.8915","240.005","52AB0014","67.515","84.098","100.266"
"14623","East Morntide Villas Portal","4AB80000","82.8001","41.0347","240.005","6FAF0025","107.024","99.219","94.216"
"14630","Fadsahil Settlement Portal","4AB80000","91.5741","20.0967","240.005","48BC0024","99.899","92.424","38.759"
"15140","Aloria Portal","4AB80000","77.1263","46.8963","240.005","5EBE001B","78.813","65.867","22.005"
"15194","Stormtree Villas Portal","4AB80000","69.6949","54.5242","240.005","53C50024","98.44","82.539","58.273"
"15148","Caerlin Cottages Portal","4AB80000","100.35","59.5649","240.005","41C4001C","90.298","89.079","14.48"
"15169","Last-Stop-Before-Dires Villas Portal","4AB80000","92.0531","68.0812","240.005","459C0024","119","77.307","29.926"
"15201","Wolfenvale Portal","4AB80000","85.1027","75.2154","240.005","5BA6001B","93.221","57.735","48.542"
"15681","Rytheran Dale Portal","4AB80000","63.277","58.6322","240.005","52B8001C","75.54","75.488","52.005"
"15686","Wilomine Villas Portal","4AB80000","56.566","61.1905","240.005","42AE000C","45.216","89.074","26.845"
"15676","Hero's Vale Portal","4AB80000","78.7792","81.0721","240.005","46A5002E","131.406","124.975","57.055"
"19163","Two Hills Cottages Portal","4AB80000","74.9823","88.0855","240.005","56B0002C","127.562","94.061","76.87"
"19164","Tyrrin Cottages Portal","4AB80000","50.7959","62.3425","240.005","5AB40024","98.468","95.268","60.105"
"31326","Coral Caves","4AF00015","69.151","104.98","-0.963","003303D2","97.637","-197.395","0.005"
"38153","Blighted Verdant Moarsman Tunnels","4AF3001B","94.013","59.999","-0.163","00C6037C","30","-110","0"
"30966","Feeding Tubes","4AF8001B","88.7241","55.5559","4.005","002E02D1","110.562","-336.795","0.005"
"11956","Northern Manumet Plains Portal","4BB70000","41.681","10.808","240.5","2ABE000D","47.7","103.3","20"
"29485","Viamontian Royal Prison","4BF2001C","85","85","7.937","001E029B","20","0","0.005"
"14884","Convergent Median","4D120000","21.529","121.943","120.005","536B0206","56.956","-53.304","0"
"7949","Shendolain Vestibule Portal","4E320000","14.5856","153.55","1.20919","02E00461","50","-20","-30"
"30968","Forgotten Chasm","4EF50025","107.938","114.342","41.0206","002C029C","204.144","-134.762","0.005"
"73068","Dardante's Keep","4FF10128","80.9026","107.106","79.2034","004805D4","198.943","-80.007","24.005"
"2359","Slaughterhouse","501A0000","124.177","138.749","68.005","1B7F0018","64.925","186.86","80.1"
